Broad category code,Broad Category,Subcategory Code,Subcategory Name,Full Definition
1,1. Governance & Oversight Controls,1.1,Board Structure & Oversight,"Governance structures and leadership roles that establish executive accountability for AI safety and risk management. Examples: Dedicated risk committees, safety teams, ethics boards, crisis simulation training, multi-party authorization protocols, deployment veto powers."
1,1. Governance & Oversight Controls,1.2,Risk Management,"Systematic methods that identify, evaluate, and manage AI risks for comprehensive risk governance across organizations. Examples: Enterprise risk management frameworks, risk registers with cascading results, compliance programs, pre-deployment risk assessments, independent risk assessments."
1,1. Governance & Oversight Controls,1.3,Conflict of Interest Protections,"Governance mechanisms that manage financial interests and organizational structures to ensure leadership can prioritize safety over profit motives in critical situations. Examples: Background checks for key personnel, downfall profit redistribution plans, stake limitation policies, protections against shareholder pressure."
1,1. Governance & Oversight Controls,1.4,Whistleblower Reporting & Protection,"Policies and systems that enable confidential reporting of safety concerns or ethical violations to prevent retaliation and encourage disclosure of risks. Examples: Anonymous reporting channels, non-retaliation guarantees, limitations on non-disparagement agreements, external whistleblower handling services."
1,1. Governance & Oversight Controls,1.5,Safety Decision Frameworks,"Protocols and commitments that constrain decision-making about model development, deployment, and capability scaling, and govern safety-capability resource allocation to prevent unsafe AI advancement. Examples: If-then safety protocols, capability ceilings, deployment pause triggers, safety-capability resource ratios."
1,1. Governance & Oversight Controls,1.6,Environmental Impact Management,"Processes for measuring, reporting, and reducing the environmental footprint of AI systems to ensure sustainability and responsible resource use. Examples: Carbon footprint assessment, emission offset programs, energy efficiency optimization, resource consumption tracking."
1,1. Governance & Oversight Controls,1.7,Societal Impact Assessment,"Processes that assess AI systems' effects on society, including impacts on employment, power dynamics, political processes, and cultural values. Examples: Fundamental rights impact assessments, expert consultations on risk domains, stakeholder engagement processes, governance gap analyses."
2,2. Technical & Security Controls,2.1,Model & Infrastructure Security,"Technical and physical safeguards that secure AI models, weights, and infrastructure to prevent unauthorized access, theft, tampering, and espionage. Examples: Model weight tracking systems, multi-factor authentication protocols, physical access controls, background security checks, compliance with information security standards."
2,2. Technical & Security Controls,2.2,Model Alignment,"Technical methods to ensure AI systems understand and adhere to human values and intentions. Examples: Reinforcement learning from human feedback (RLHF), direct preference optimization (DPO), constitutional AI training, value alignment verification systems."
2,2. Technical & Security Controls,2.3,Model Safety Engineering,"Technical methods and safeguards that constrain model behaviors and protect against exploitation and vulnerabilities. Examples: Safety analysis protocols, capability restriction mechanisms, hazardous knowledge unlearning techniques, input/output filtering systems, defense-in-depth implementations, adversarial robustness training, hierarchical auditing, action replacement."
2,2. Technical & Security Controls,2.4,Content Safety Controls,"Technical systems and processes that detect, filter, and label AI-generated content to identify misuse and enable content provenance tracking. Examples: Synthetic media watermarking, content filtering mechanisms, prohibited content detection, metadata tagging protocols, deepfake creation restrictions."
3,3. Operational Process Controls,3.1,Testing & Auditing,"Systematic internal and external evaluations that assess AI systems, infrastructure, and compliance processes to identify risks, verify safety, and ensure performance meets standards. Examples: Third-party audits, red teaming, penetration testing, dangerous capability evaluations, bug bounty programs."
3,3. Operational Process Controls,3.2,Data Governance,"Policies and procedures that govern responsible data acquisition, curation, and usage to ensure compliance, quality, user privacy, and removal of harmful content. Examples: Harmful content filtering protocols, compliance checks for data collection standards, user data privacy controls, data curation processes."
3,3. Operational Process Controls,3.3,Access Management,"Operational policies and verification systems that govern who can use AI systems and for what purposes to prevent safety circumvention, deliberate misuse, and deployment in high-risk contexts. Examples: KYC verification requirements, API-only access controls, fine-tuning restrictions, acceptable use policies, high-stakes application prohibitions."
